question,answer,Source,Metadata,SuggestedQuestions,IsContextOnly,Prompts,QnaId
Learn more about the product,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
Further meeting,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
Whom to contact,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
Contact details,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
How to connect,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
Contact me,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
Further steps,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
Connect with us,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
I need a bit more details to help you out,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
Book a Meeting,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
Connect with us to know more.,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
Speak to your student/ Alumni council,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
Schedule an Interview,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
Else! Connect with us,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
Is it available for use on mobile?,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Platforms it is compatible with,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Will it work on my mobile,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Will it work on my iOS device,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Will it work on my android device,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Which devices the application can be used,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Will it work through webpage,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Is it available as a desktop app,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Can it be available as a mobile app,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Can the solution be hosted on my website?,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Hosting it on my website,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Put it on my application landing page,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Putting it on my company website,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Can it be hosted on my wordpress site,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Can we put it on my webpage,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Can it be deployed as a desktop app,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Does your solution have a preference on the platform with which it can interact?,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Apple mobile,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
iOS,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
IOS devices,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Android app,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Mobile app,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Desktop App,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Web application,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
What are the different platforms it can work with ?,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Website,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Hosting on website,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
iPad,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Devices,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Multiplatform,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Mobile phone,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Personal Computer,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Desktop,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
iPhone,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Mac,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Windows,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Windows App,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Windows PC,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
PC,Our solution is built with open APIs and SDKs and is available on all major platforms.\n\n![Multiplatform](https://i.ibb.co/Fs5DP40/Platform.jpg),Editorial,en:true,[],FALSE,[],83
Are your solution’s solution GDPR compliant?,"{""type"":""AdaptiveCard"",""body"":[{""type"":""TextBlock"",""text"":""Absolutely! We take data security and privacy very seriously at Novacept and be rest-assured, all of our products are GDPR compliant. "",""wrap"":true,""size"":""Medium""},{""type"":""Image"",""url"":""https://i.ibb.co/mX3jySS/GDPR-Ready.png""}],""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2""}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":82,""DisplayText"":""Connect with us""}]",84
GDPR compliance,"{""type"":""AdaptiveCard"",""body"":[{""type"":""TextBlock"",""text"":""Absolutely! We take data security and privacy very seriously at Novacept and be rest-assured, all of our products are GDPR compliant. "",""wrap"":true,""size"":""Medium""},{""type"":""Image"",""url"":""https://i.ibb.co/mX3jySS/GDPR-Ready.png""}],""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2""}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":82,""DisplayText"":""Connect with us""}]",84
Will our data be secure ?,"{""type"":""AdaptiveCard"",""body"":[{""type"":""TextBlock"",""text"":""Absolutely! We take data security and privacy very seriously at Novacept and be rest-assured, all of our products are GDPR compliant. "",""wrap"":true,""size"":""Medium""},{""type"":""Image"",""url"":""https://i.ibb.co/mX3jySS/GDPR-Ready.png""}],""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2""}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":82,""DisplayText"":""Connect with us""}]",84
How will you make sure the data is secure ?,"{""type"":""AdaptiveCard"",""body"":[{""type"":""TextBlock"",""text"":""Absolutely! We take data security and privacy very seriously at Novacept and be rest-assured, all of our products are GDPR compliant. "",""wrap"":true,""size"":""Medium""},{""type"":""Image"",""url"":""https://i.ibb.co/mX3jySS/GDPR-Ready.png""}],""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2""}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":82,""DisplayText"":""Connect with us""}]",84
Data security and compliance,"{""type"":""AdaptiveCard"",""body"":[{""type"":""TextBlock"",""text"":""Absolutely! We take data security and privacy very seriously at Novacept and be rest-assured, all of our products are GDPR compliant. "",""wrap"":true,""size"":""Medium""},{""type"":""Image"",""url"":""https://i.ibb.co/mX3jySS/GDPR-Ready.png""}],""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2""}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":82,""DisplayText"":""Connect with us""}]",84
Privacy shield,"{""type"":""AdaptiveCard"",""body"":[{""type"":""TextBlock"",""text"":""Absolutely! We take data security and privacy very seriously at Novacept and be rest-assured, all of our products are GDPR compliant. "",""wrap"":true,""size"":""Medium""},{""type"":""Image"",""url"":""https://i.ibb.co/mX3jySS/GDPR-Ready.png""}],""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2""}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":82,""DisplayText"":""Connect with us""}]",84
